X,block_number,block_transaction_count,block_size,block_gas_used,miners_label
2707,3906606,35,4840,4708186,ethfans.org
2708,3906607,43,5531,4627124,ethfans.org
2709,3906608,1,649,21000,f2pool
2710,3906609,169,22316,4694202,ethermine
2711,3906610,37,4904,4692846,miningpoolhub_1
2712,3906611,1,646,21000,f2pool
2713,3906612,50,7348,4711884,waterhole
2714,3906613,46,5773,4694005,ethermine
2715,3906614,205,23513,4696608,Ethpool_2
2716,3906615,35,4518,4692442,ethermine
2717,3906616,40,5777,4645452,ethermine
2718,3906617,0,533,0,f2pool
2719,3906618,43,5501,4665221,Ethpool_2
2720,3906619,36,5371,4697876,ethfans.org
2721,3906620,0,527,0,DwarfPool1
2722,3906621,6,1201,244966,f2pool
2723,3906622,1,650,21000,f2pool
2724,3906623,39,5138,4682233,C0ea08A2d
2725,3906624,5,1092,222000,f2pool
2726,3906625,208,23704,4681522,ethermine
2727,3906626,219,25258,4705371,ethermine
2728,3906627,1,641,21000,DwarfPool1
2729,3906628,43,5500,4705798,ethfans.org
2730,3906629,1,649,21000,f2pool
2731,3906630,43,6944,4696100,ethfans.org
2732,3906631,216,24404,4694161,ethermine
2733,3906632,38,4878,4660388,ethfans.org
2734,3906633,216,25109,4701571,DwarfPool1
2735,3906634,64,8017,4693600,Coinotron
2736,3906635,22,3205,4592201,ethfans.org
2737,3906636,220,24719,4694202,ethermine
2738,3906637,18,2715,4669974,Nanopool
2739,3906638,42,5358,4640666,Nanopool
2740,3906639,39,5022,4670391,miningpoolhub_1
2741,3906640,47,6756,4696893,ethermine
2742,3906641,37,9582,4690564,C0ea08A2d
2743,3906642,4,984,162000,f2pool
2744,3906643,205,23452,4694773,ethermine
2751,3906644,40,5452,4702286,Nanopool
2752,3906645,37,8202,4706511,ethermine
2754,3906646,9,2135,4703560,ethfans.org
2755,3906647,42,7926,4696142,ethfans.org
2756,3906648,208,23526,4669521,DwarfPool1
2758,3906649,0,527,0,DwarfPool1
2759,3906650,3,872,141000,f2pool
2760,3906651,0,527,0,DwarfPool1
2761,3906652,3,1401,102000,f2pool
2762,3906653,50,8820,4680164,DwarfPool1
2763,3906654,36,4750,4677422,miningpoolhub_1
2764,3906655,28,6584,4683179,miningpoolhub_1
2765,3906656,218,25005,4694914,ethermine
2779,3906657,31,6676,4643626,miningpoolhub_1
2780,3906658,2,757,120000,f2pool
2781,3906659,36,4701,4687720,ethermine
2782,3906660,29,6365,4687648,ethfans.org
2783,3906661,39,5119,4692671,Nanopool
2796,3906662,34,6102,4701686,Nanopool
2800,3906663,214,24517,4701522,ethermine
2820,3906664,26,6029,4705120,miningpoolhub_1
2822,3906665,37,4844,4654584,Coinotron
2824,3906666,217,25165,4691753,ethermine
2851,3906667,31,7271,4664613,C0ea08A2d
2854,3906668,42,5441,4696148,ethfans.org
2858,3906669,2,822,58265,f2pool
2859,3906670,34,7012,4704485,ethfans.org
2861,3906671,221,25003,4703179,ethermine
2887,3906672,29,6392,4702073,bitclubpool
2891,3906673,2,762,42000,f2pool
2892,3906674,204,23324,4698441,ethermine
2901,3906675,40,7326,4708781,ethfans.org
2902,3906676,216,24494,4705107,ethermine
2913,3906677,36,7614,4698404,ethermine
2920,3906678,39,6789,4643246,Nanopool
2929,3906679,42,5349,4675131,Coinotron
2939,3906680,36,6495,4686348,DwarfPool1
2940,3906681,41,5368,4702627,Coinotron
2941,3906682,24,5051,4693304,C0ea08A2d
2942,3906683,38,4983,4623498,Nanopool
2948,3906684,36,6505,4700839,ethfans.org
2951,3906685,44,5775,4616787,Nanopool
2955,3906686,43,6802,4702992,ethfans.org
2956,3906687,37,4753,4666718,ethfans.org
2957,3906688,4,990,84000,f2pool
2958,3906689,218,24708,4707170,ethermine
2980,3906690,34,5445,4608124,ethfans.org
2982,3906691,2,757,42000,f2pool
2983,3906692,81,10493,4709448,Nanopool
2993,3906693,46,5790,4566447,ethfans.org
2999,3906694,38,4932,4693994,DwarfPool1
3008,3906695,41,6092,4580828,Ethpool_2
3010,3906696,4,987,263000,f2pool
3011,3906697,1,646,21000,f2pool
3012,3906698,220,24966,4702611,ethermine
3015,3906699,36,5701,4592164,ethermine
2769,3906700,220,24843,4670020,ethermine
2771,3906701,3,869,63000,f2pool
2772,3906702,3,869,141000,f2pool
2773,3906703,32,5153,4706492,ethfans.org
2774,3906704,62,8422,4692415,ethfans.org
2784,3906705,45,7628,4574900,poolgpu
2785,3906706,218,24852,4676046,ethermine
2808,3906707,3,876,102000,f2pool
2809,3906708,0,533,0,f2pool
2810,3906709,0,1073,0,f2pool
2811,3906710,36,6635,4686004,625a08
2813,3906711,31,4662,4695888,miningpoolhub_1
2816,3906712,169,21692,4697287,miningpoolhub_1
2834,3906713,6,1206,424541,f2pool
2836,3906714,43,7199,4668596,Nanopool
2838,3906715,49,6137,4681509,bitclubpool
2845,3906716,43,7246,4698263,DwarfPool1
2846,3906717,13,2128,472654,f2pool
2847,3906718,34,6194,4689227,C0ea08A2d
2848,3906719,215,25242,4704308,ethermine
2874,3906720,33,5352,4636393,ethfans.org
2875,3906721,9,1552,4694000,Nanopool
2876,3906722,13,2257,479284,f2pool
2877,3906723,0,533,0,f2pool
2878,3906724,40,6157,4685406,miningpoolhub_1
2880,3906725,33,4367,4699870,ethfans.org
2888,3906726,39,6854,4676395,miningpoolhub_1
2895,3906727,35,4560,4678247,Ethpool_2
2900,3906728,38,5015,4668344,Coinotron
2905,3906729,218,25893,4703043,ethermine
2922,3906730,1,649,21000,f2pool
2923,3906731,35,6754,4702852,C0ea08A2d
2924,3906732,39,5699,4656256,ethermine
2927,3906733,4,991,84000,f2pool
2928,3906734,47,6885,4695720,Ethpool_2
2931,3906735,8,1428,246000,f2pool
2932,3906736,2,820,73329,f2pool
2933,3906737,11,1773,270051,f2pool
2936,3906738,10,1650,444000,f2pool
2938,3906739,37,6358,4686286,Nanopool
2944,3906740,46,6003,4700910,Ethpool_2
2947,3906741,9,1542,228000,f2pool
2949,3906742,216,25092,4702665,DwarfPool1
2966,3906743,6,1881,151142,f2pool
2968,3906744,4,982,123000,f2pool
2969,3906745,50,7319,4699085,Ethpool_2
2971,3906746,8,1433,207000,f2pool
2972,3906747,167,22108,4693695,ethermine
2987,3906748,218,24856,4706859,ethermine
3013,3906749,4,1514,163900,f2pool
3014,3906750,128,18937,4705546,ethermine
3018,3906751,107,16306,4697596,ethermine
3027,3906752,57,7250,4697858,eth.pp.ua
3028,3906753,30,5833,4596864,ethermine
3029,3906754,4,1121,148142,f2pool
3035,3906755,44,6687,4664188,Ethermine.ru
3037,3906756,3,878,63000,f2pool
3038,3906757,29,5580,4695759,ethermine
3039,3906758,38,4908,4702586,ethfans.org
3049,3906759,3,1415,63000,f2pool
3051,3906760,220,25037,4697863,ethermine
3061,3906761,4,984,123000,f2pool
3062,3906762,88,10242,1869900,ethermine
3068,3906763,40,7744,4668819,Nanopool
3076,3906764,26,3501,4696808,miningpoolhub_1
3077,3906765,38,6585,4634665,Nanopool
3081,3906766,2,758,81000,f2pool
3082,3906767,143,16699,3114652,ethermine
3093,3906768,15,4795,4617708,C0ea08A2d
3094,3906769,7,1323,225000,f2pool
3095,3906770,41,7056,4703807,ethfans.org
3096,3906771,1,649,21000,f2pool
3097,3906772,39,6757,4702528,ethermine
3098,3906773,3,871,102000,f2pool
3103,3906774,121,13953,2622619,ethermine
3109,3906775,49,6843,4591181,Nanopool
3111,3906776,165,19344,4700578,waterhole
3117,3906777,3,872,102000,f2pool
3122,3906778,220,24728,4698877,ethermine
3132,3906779,97,11840,4681405,a4aaf1d
3138,3906780,42,6190,4689765,Nanopool
3139,3906781,41,5168,4641250,Ethpool_2
3143,3906782,0,533,0,f2pool
3144,3906783,51,7176,4706953,DwarfPool1
3145,3906784,42,5195,4680815,ethermine
3148,3906785,215,24561,4676761,ethermine
3161,3906786,215,24986,4704445,DwarfPool1
3164,3906787,45,6684,4687796,C0ea08A2d
3170,3906788,1,646,60000,f2pool
3171,3906789,67,9677,4678375,ethermine
3179,3906790,9,2082,4705000,ethfans.org
3180,3906791,0,527,0,DwarfPool1
3181,3906792,50,6365,4688130,Coinotron
3183,3906793,12,2151,380284,f2pool
3184,3906794,159,23250,4700207,ethermine
3190,3906795,30,4312,4660244,miningpoolhub_1
3191,3906796,50,7147,4633719,ethermine
3194,3906797,0,533,0,f2pool
3195,3906798,51,7270,4693374,ea5da3
3196,3906799,5,1091,387000,f2pool
2745,3906800,53,8341,4693379,ethfans.org
2746,3906801,6,1218,4558407,a9a926b
2747,3906802,6,1416,202713,f2pool
2748,3906803,43,6391,4696457,ethfans.org
2749,3906804,28,3780,4689141,ethermine
2750,3906805,48,6141,4708211,ethermine
2753,3906806,218,24685,4702847,ethermine
2757,3906807,213,24539,4669870,ethermine
2766,3906808,38,5833,4605516,ethfans.org
2767,3906809,42,5400,4688252,Nanopool
2768,3906810,45,5738,4655507,ethfans.org
2770,3906811,171,19638,3686556,ethermine
2775,3906812,1,650,21000,f2pool
2776,3906813,45,6757,4663915,ethfans.org
2778,3906814,50,6228,4711860,ethermine
2793,3906815,58,7614,4694882,Coinotron
2794,3906816,49,6735,4688732,miningpoolhub_1
2798,3906817,27,3594,772895,f2pool
2799,3906818,64,7693,1403817,ethermine
2806,3906819,105,15068,4704892,ethermine
