X,block_number,block_transaction_count,block_size,block_gas_used,block_miner
2686,3906585,31,4378,4708156,0x1e9939daaad6924ad004c2560e90804164900341
2691,3906590,44,5609,4705686,0x1e9939daaad6924ad004c2560e90804164900341
2692,3906591,44,5875,4607339,0x1e9939daaad6924ad004c2560e90804164900341
2698,3906597,22,3072,4668616,0x1e9939daaad6924ad004c2560e90804164900341
2707,3906606,35,4840,4708186,0x1e9939daaad6924ad004c2560e90804164900341
2708,3906607,43,5531,4627124,0x1e9939daaad6924ad004c2560e90804164900341
2720,3906619,36,5371,4697876,0x1e9939daaad6924ad004c2560e90804164900341
2729,3906628,43,5500,4705798,0x1e9939daaad6924ad004c2560e90804164900341
2731,3906630,43,6944,4696100,0x1e9939daaad6924ad004c2560e90804164900341
2733,3906632,38,4878,4660388,0x1e9939daaad6924ad004c2560e90804164900341
2736,3906635,22,3205,4592201,0x1e9939daaad6924ad004c2560e90804164900341
2745,3906800,53,8341,4693379,0x1e9939daaad6924ad004c2560e90804164900341
2748,3906803,43,6391,4696457,0x1e9939daaad6924ad004c2560e90804164900341
2754,3906646,9,2135,4703560,0x1e9939daaad6924ad004c2560e90804164900341
2755,3906647,42,7926,4696142,0x1e9939daaad6924ad004c2560e90804164900341
2766,3906808,38,5833,4605516,0x1e9939daaad6924ad004c2560e90804164900341
2768,3906810,45,5738,4655507,0x1e9939daaad6924ad004c2560e90804164900341
2773,3906703,32,5153,4706492,0x1e9939daaad6924ad004c2560e90804164900341
2774,3906704,62,8422,4692415,0x1e9939daaad6924ad004c2560e90804164900341
2776,3906813,45,6757,4663915,0x1e9939daaad6924ad004c2560e90804164900341
2782,3906660,29,6365,4687648,0x1e9939daaad6924ad004c2560e90804164900341
2797,3907001,41,5674,4711815,0x1e9939daaad6924ad004c2560e90804164900341
2805,3906909,45,5903,4694108,0x1e9939daaad6924ad004c2560e90804164900341
2814,3906912,41,6227,4703031,0x1e9939daaad6924ad004c2560e90804164900341
2827,3907007,23,3270,4670148,0x1e9939daaad6924ad004c2560e90804164900341
2830,3906916,68,9153,4624445,0x1e9939daaad6924ad004c2560e90804164900341
2841,3907011,53,7198,4638879,0x1e9939daaad6924ad004c2560e90804164900341
2854,3906668,42,5441,4696148,0x1e9939daaad6924ad004c2560e90804164900341
2857,3906832,38,5879,4694895,0x1e9939daaad6924ad004c2560e90804164900341
2859,3906670,34,7012,4704485,0x1e9939daaad6924ad004c2560e90804164900341
2860,3906833,42,5478,4556397,0x1e9939daaad6924ad004c2560e90804164900341
2865,3907015,22,3088,4699820,0x1e9939daaad6924ad004c2560e90804164900341
2872,3907022,52,7405,4605264,0x1e9939daaad6924ad004c2560e90804164900341
2873,3906921,45,5788,4708628,0x1e9939daaad6924ad004c2560e90804164900341
2874,3906720,33,5352,4636393,0x1e9939daaad6924ad004c2560e90804164900341
2880,3906725,33,4367,4699870,0x1e9939daaad6924ad004c2560e90804164900341
2889,3907024,48,6229,4699311,0x1e9939daaad6924ad004c2560e90804164900341
2894,3907025,42,5403,4703407,0x1e9939daaad6924ad004c2560e90804164900341
2897,3906838,45,6964,4699818,0x1e9939daaad6924ad004c2560e90804164900341
2901,3906675,40,7326,4708781,0x1e9939daaad6924ad004c2560e90804164900341
2911,3906841,38,4953,4647086,0x1e9939daaad6924ad004c2560e90804164900341
2948,3906684,36,6505,4700839,0x1e9939daaad6924ad004c2560e90804164900341
2955,3906686,43,6802,4702992,0x1e9939daaad6924ad004c2560e90804164900341
2956,3906687,37,4753,4666718,0x1e9939daaad6924ad004c2560e90804164900341
2965,3906942,39,4973,4705247,0x1e9939daaad6924ad004c2560e90804164900341
2980,3906690,34,5445,4608124,0x1e9939daaad6924ad004c2560e90804164900341
2981,3906855,45,5663,4710940,0x1e9939daaad6924ad004c2560e90804164900341
2986,3906857,37,7365,4710015,0x1e9939daaad6924ad004c2560e90804164900341
2991,3906950,15,2336,4708222,0x1e9939daaad6924ad004c2560e90804164900341
2992,3906858,44,5547,4654676,0x1e9939daaad6924ad004c2560e90804164900341
2993,3906693,46,5790,4566447,0x1e9939daaad6924ad004c2560e90804164900341
3020,3907043,37,4772,4566500,0x1e9939daaad6924ad004c2560e90804164900341
3026,3906869,18,3659,4697880,0x1e9939daaad6924ad004c2560e90804164900341
3036,3906871,39,5081,4701509,0x1e9939daaad6924ad004c2560e90804164900341
3039,3906758,38,4908,4702586,0x1e9939daaad6924ad004c2560e90804164900341
3041,3907050,42,5327,4699549,0x1e9939daaad6924ad004c2560e90804164900341
3044,3907052,38,4969,4624809,0x1e9939daaad6924ad004c2560e90804164900341
3070,3906881,31,4972,4669956,0x1e9939daaad6924ad004c2560e90804164900341
3078,3906969,43,6694,4703264,0x1e9939daaad6924ad004c2560e90804164900341
3080,3906971,29,4844,4623491,0x1e9939daaad6924ad004c2560e90804164900341
3089,3906975,30,4345,4681440,0x1e9939daaad6924ad004c2560e90804164900341
3091,3907060,43,5485,4684502,0x1e9939daaad6924ad004c2560e90804164900341
3095,3906770,41,7056,4703807,0x1e9939daaad6924ad004c2560e90804164900341
3099,3906976,38,5106,4649808,0x1e9939daaad6924ad004c2560e90804164900341
3104,3906889,41,5195,4657383,0x1e9939daaad6924ad004c2560e90804164900341
3105,3906890,46,6008,4708247,0x1e9939daaad6924ad004c2560e90804164900341
3115,3907064,53,6688,4705882,0x1e9939daaad6924ad004c2560e90804164900341
3120,3906980,29,3978,4701900,0x1e9939daaad6924ad004c2560e90804164900341
3121,3906981,37,5977,4698164,0x1e9939daaad6924ad004c2560e90804164900341
3142,3907071,50,6612,4680813,0x1e9939daaad6924ad004c2560e90804164900341
3146,3907072,34,4412,4658231,0x1e9939daaad6924ad004c2560e90804164900341
3147,3907073,47,5899,4700008,0x1e9939daaad6924ad004c2560e90804164900341
3154,3906993,68,8572,4701628,0x1e9939daaad6924ad004c2560e90804164900341
3168,3907081,40,5222,4705179,0x1e9939daaad6924ad004c2560e90804164900341
3169,3907082,40,5531,4609215,0x1e9939daaad6924ad004c2560e90804164900341
3173,3906999,29,3894,4702749,0x1e9939daaad6924ad004c2560e90804164900341
3177,3907086,37,4822,4537095,0x1e9939daaad6924ad004c2560e90804164900341
3179,3906790,9,2082,4705000,0x1e9939daaad6924ad004c2560e90804164900341
3185,3907089,39,5744,4704898,0x1e9939daaad6924ad004c2560e90804164900341
3204,3907403,38,5109,4673895,0x1e9939daaad6924ad004c2560e90804164900341
3208,3907407,27,3966,4697224,0x1e9939daaad6924ad004c2560e90804164900341
3210,3907409,44,5525,4672777,0x1e9939daaad6924ad004c2560e90804164900341
3214,3907413,43,5564,4582710,0x1e9939daaad6924ad004c2560e90804164900341
3227,3907426,40,5239,4704291,0x1e9939daaad6924ad004c2560e90804164900341
3235,3907434,35,4661,4693244,0x1e9939daaad6924ad004c2560e90804164900341
3237,3907436,37,5302,4692152,0x1e9939daaad6924ad004c2560e90804164900341
3248,3907447,41,5210,4634584,0x1e9939daaad6924ad004c2560e90804164900341
3250,3907449,40,5598,4589855,0x1e9939daaad6924ad004c2560e90804164900341
3252,3907451,40,5416,4664746,0x1e9939daaad6924ad004c2560e90804164900341
3270,3907469,46,5822,4708150,0x1e9939daaad6924ad004c2560e90804164900341
